,Crop,N,P,K,pH
0,rice,80,40,40,5.5
3,maize,80,40,20,5.5
5,chickpea,40,60,80,5.5
12,kidneybeans,20,60,20,5.5
13,pigeonpeas,20,60,20,5.5
14,mothbeans,20,40,20,5.5
15,mungbean,20,40,20,5.5
18,blackgram,40,60,20,5.0
24,lentil,20,60,20,5.5
60,pomegranate,20,10,40,5.5
61,banana,100,75,50,6.5
62,mango,20,20,30,5.0
63,grapes,20,125,200,4.0
66,watermelon,100,10,50,5.5
67,muskmelon,100,10,50,5.5
69,apple,20,125,200,6.5
74,orange,20,10,10,4.0
75,papaya,50,50,50,6.0
88,coconut,20,10,30,5.0
93,cotton,120,40,20,5.5
94,jute,80,40,40,5.5
95,coffee,100,20,30,5.5
96,wheat,70,42,30,6.5
97,barley,60,38,25,6.5
98,sorghum,65,35,30,6.2
99,soybean,30,60,50,6.5
100,groundnut,25,50,40,6.2
101,mustard,50,32,28,6.8
102,sunflower,70,50,40,6.8
103,sesame,40,28,25,6.2
104,sugarcane,100,50,50,6.8
105,tobacco,50,40,70,6.0
106,tomato,100,70,70,6.5
107,potato,70,70,100,5.8
108,onion,70,50,50,6.5
109,brinjal,90,60,60,6.0
110,okra,70,50,50,6.5
111,cauliflower,90,60,50,6.5
112,cabbage,90,55,48,6.5
113,spinach,70,50,50,7.0
114,carrot,50,50,70,6.5
115,peas,25,60,50,6.8
116,cucumber,70,50,50,6.5
117,chilli,100,60,60,6.5
118,garlic,60,50,50,6.5
119,ginger,70,50,50,6.0
120,turmeric,70,40,70,6.2
121,guava,50,40,50,6.2
122,lychee,50,40,50,5.8
123,sapota,50,40,50,7.0
